trade_date,tradingsymbol,exchange,segment,trade_type,quantity,price,order_execution_time
2024-06-03,NIFTY2460622500CE,NSE,NFO,buy,50,120.50,2024-06-03 09:32:15
2024-06-03,NIFTY2460622500CE,NSE,NFO,sell,50,145.00,2024-06-03 11:15:22
2024-06-03,NIFTY2460622000PE,NSE,NFO,buy,75,85.30,2024-06-03 11:45:00
2024-06-03,NIFTY2460622000PE,NSE,NFO,sell,75,62.10,2024-06-03 14:20:00
2024-06-04,NIFTY2461222800CE,NSE,NFO,buy,100,210.00,2024-06-04 09:18:45
2024-06-04,NIFTY2461222800CE,NSE,NFO,sell,100,155.00,2024-06-04 10:05:30
2024-06-04,BANKNIFTY2460548000CE,NSE,NFO,buy,30,320.00,2024-06-04 10:15:00
2024-06-04,BANKNIFTY2460548000CE,NSE,NFO,sell,30,280.50,2024-06-04 10:45:00
2024-06-05,NIFTY2461222600PE,NSE,NFO,buy,150,95.00,2024-06-05 09:16:30
2024-06-05,NIFTY2461222600PE,NSE,NFO,sell,150,78.00,2024-06-05 09:45:00
2024-06-05,NIFTY2461923000CE,NSE,NFO,buy,200,180.00,2024-06-05 10:00:00
2024-06-05,NIFTY2461923000CE,NSE,NFO,sell,200,125.00,2024-06-05 14:30:00
2024-06-06,BANKNIFTY2461248500PE,NSE,NFO,buy,50,420.00,2024-06-06 09:20:00
2024-06-06,BANKNIFTY2461248500PE,NSE,NFO,sell,50,510.00,2024-06-06 12:30:00
2024-06-06,NIFTY2461923200CE,NSE,NFO,buy,75,95.00,2024-06-06 14:10:00
2024-06-06,NIFTY2461923200CE,NSE,NFO,sell,75,45.00,2024-06-07 15:00:00
2024-06-07,NIFTY2462622500CE,NSE,NFO,buy,100,280.00,2024-06-07 09:35:00
2024-06-07,NIFTY2462622500CE,NSE,NFO,sell,100,350.00,2024-06-07 13:45:00
2024-06-10,BANKNIFTY2461048200PE,NSE,NFO,buy,40,195.00,2024-06-10 09:25:00
2024-06-10,BANKNIFTY2461048200PE,NSE,NFO,sell,40,240.00,2024-06-10 11:30:00
2024-06-10,NIFTY2461722900CE,NSE,NFO,buy,100,165.00,2024-06-10 14:05:00
2024-06-10,NIFTY2461722900CE,NSE,NFO,sell,100,130.00,2024-06-10 14:35:00
2024-06-11,NIFTY2461722700PE,NSE,NFO,buy,80,88.00,2024-06-11 09:20:00
2024-06-11,NIFTY2461722700PE,NSE,NFO,sell,80,112.00,2024-06-11 12:15:00
2024-06-11,NIFTY2461722800CE,NSE,NFO,buy,120,145.00,2024-06-11 12:30:00
2024-06-11,NIFTY2461722800CE,NSE,NFO,sell,120,98.00,2024-06-11 13:10:00
2024-06-12,BANKNIFTY2461248800CE,NSE,NFO,buy,25,385.00,2024-06-12 09:45:00
2024-06-12,BANKNIFTY2461248800CE,NSE,NFO,sell,25,295.00,2024-06-12 10:20:00
2024-06-12,BANKNIFTY2461248600PE,NSE,NFO,buy,50,270.00,2024-06-12 10:25:00
2024-06-12,BANKNIFTY2461248600PE,NSE,NFO,sell,50,340.00,2024-06-12 14:00:00
